version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B2;C;D;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;D13
0.2;05914000;13.09.2020;Ratswahl;5262;5262 Ähren- / Twittingstr.;;795;171;0;966;255;1;5;250;66;56;36;22;12;31;11;;13;;0;3;
0.2;05914000;13.09.2020;Ratswahl;5263;5263 Grazer Str.;;803;132;0;935;216;0;3;213;64;34;47;17;9;27;9;;2;;1;3;
0.2;05914000;13.09.2020;Ratswahl;5264;5264 Harkortstr.;;785;110;0;895;231;1;3;228;80;38;23;18;8;43;7;;4;;4;3;
0.2;05914000;13.09.2020;Ratswahl;5265;5265 Westerbauer;;689;50;0;739;166;0;8;158;52;34;10;21;7;19;5;;4;;0;6;
0.2;05914000;13.09.2020;Ratswahl;5266;5266 Gabelsbergerstr.;;752;126;0;878;253;1;7;246;77;40;18;39;11;43;9;;5;;0;4;
0.2;05914000;13.09.2020;Ratswahl;6001;Briefwahlbezirk 6001;;0;0;0;0;668;668;3;665;143;204;58;45;22;57;44;;6;;1;67;18
0.2;05914000;13.09.2020;Ratswahl;6002;Briefwahlbezirk 6002;;0;0;0;0;945;945;7;938;195;266;153;73;19;76;50;;3;5;4;75;19
0.2;05914000;13.09.2020;Ratswahl;6003;Briefwahlbezirk 6003;;0;0;0;0;573;573;4;569;102;114;60;46;11;26;7;;5;;11;172;15
0.2;05914000;13.09.2020;Ratswahl;6004;Briefwahlbezirk 6004;;0;0;0;0;637;637;5;632;132;197;85;34;18;54;23;;4;;14;59;12
0.2;05914000;13.09.2020;Ratswahl;6005;Briefwahlbezirk 6005;;0;0;0;0;1577;1577;7;1570;313;604;293;77;27;73;126;;9;;6;19;23
0.2;05914000;13.09.2020;Ratswahl;6006;Briefwahlbezirk 6006;;0;0;0;0;1564;1564;7;1557;320;611;217;82;20;85;162;;11;;3;6;40
0.2;05914000;13.09.2020;Ratswahl;6007;Briefwahlbezirk 6007;;0;0;0;0;1562;1562;8;1554;513;434;230;95;25;67;143;;5;;1;;41
0.2;05914000;13.09.2020;Ratswahl;6008;Briefwahlbezirk 6008;;0;0;0;0;906;906;11;895;202;245;134;65;35;76;53;;14;;9;30;32
0.2;05914000;13.09.2020;Ratswahl;6009;Briefwahlbezirk 6009;;0;0;0;0;940;940;3;937;235;191;162;74;43;46;26;;8;;5;87;60
0.2;05914000;13.09.2020;Ratswahl;6010;Briefwahlbezirk 6010;;0;0;0;0;859;859;6;853;212;192;139;74;21;34;28;;2;;5;107;39
0.2;05914000;13.09.2020;Ratswahl;6011;Briefwahlbezirk 6011;;0;0;0;0;1184;1184;8;1176;259;490;125;75;13;58;31;;13;;3;86;23
0.2;05914000;13.09.2020;Ratswahl;6012;Briefwahlbezirk 6012;;0;0;0;0;990;990;7;983;321;329;90;66;19;47;31;;7;;12;38;23
0.2;05914000;13.09.2020;Ratswahl;6013;Briefwahlbezirk 6013;;0;0;0;0;1000;1000;12;988;255;349;160;75;13;68;41;;18;;0;;9
0.2;05914000;13.09.2020;Ratswahl;6014;Briefwahlbezirk 6014;;0;0;0;0;1011;1011;5;1006;222;411;155;63;13;62;40;;7;;4;;29
0.2;05914000;13.09.2020;Ratswahl;6015;Briefwahlbezirk 6015;;0;0;0;0;848;848;6;842;251;217;82;47;34;49;19;;5;;0;121;17
0.2;05914000;13.09.2020;Ratswahl;6016;Briefwahlbezirk 6016;;0;0;0;0;1525;1525;5;1520;286;547;214;112;19;95;58;137;;;0;21;31
0.2;05914000;13.09.2020;Ratswahl;6017;Briefwahlbezirk 6017;;0;0;0;0;1128;1128;8;1120;220;328;114;40;19;47;35;207;;;1;81;28
0.2;05914000;13.09.2020;Ratswahl;6018;Briefwahlbezirk 6018;;0;0;0;0;1100;1100;13;1087;201;193;103;48;23;49;18;294;3;;2;126;27
0.2;05914000;13.09.2020;Ratswahl;6019;Briefwahlbezirk 6019;;0;0;0;0;1088;1088;4;1084;217;287;86;42;15;46;26;243;;;2;98;22
0.2;05914000;13.09.2020;Ratswahl;6020;Briefwahlbezirk 6020;;0;0;0;0;600;600;12;588;180;154;71;66;16;65;25;;8;;3;;
0.2;05914000;13.09.2020;Ratswahl;6021;Briefwahlbezirk 6021;;0;0;0;0;876;876;4;872;224;271;128;84;21;74;46;;;;0;;24
0.2;05914000;13.09.2020;Ratswahl;6022;Briefwahlbezirk 6022;;0;0;0;0;1097;1097;8;1089;226;355;159;85;27;80;129;;5;;0;;23
0.2;05914000;13.09.2020;Ratswahl;6023;Briefwahlbezirk 6023;;0;0;0;0;1139;1139;11;1128;348;285;136;183;32;72;41;;7;;0;;24
0.2;05914000;13.09.2020;Ratswahl;6024;Briefwahlbezirk 6024;;0;0;0;0;479;479;1;478;138;83;60;42;23;42;0;;2;;4;70;14
0.2;05914000;13.09.2020;Ratswahl;6025;Briefwahlbezirk 6025;;0;0;0;0;950;950;17;933;244;280;142;141;5;67;29;;3;;4;;18
0.2;05914000;13.09.2020;Ratswahl;6026;Briefwahlbezirk 6026;;0;0;0;0;905;905;6;899;233;198;124;160;15;56;39;;12;;3;59;
