version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;D1;D2
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;214;214 Trift (1);09.06.2024 17:12:13 210;801;137;0;938;455;0;10;445;142;303
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;215;215 Trift (2);09.06.2024 17:12:13 210;744;129;0;873;391;0;19;372;149;223
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;216;216 Alt-Geismar (1);09.06.2024 17:12:13 210;780;139;0;919;459;2;10;449;181;268
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;217;217 Alt-Geismar (2);09.06.2024 17:12:13 210;757;163;0;920;432;0;6;426;185;241
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;218;218 Treuenhagen (1);09.06.2024 17:12:13 210;541;101;0;642;335;2;2;333;120;213
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;219;219 Treuenhagen (2);09.06.2024 17:12:13 210;506;114;0;620;338;0;5;333;156;177
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;220;220 Kiessee-Karree (1);09.06.2024 17:12:13 210;520;107;0;627;308;0;9;299;122;177
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;221;221 Zietenterrassen (1);09.06.2024 17:12:13 210;1071;191;0;1262;557;0;13;544;220;324
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;222;222 Kiessee-Karree (2);09.06.2024 17:12:13 210;546;205;0;751;394;0;10;384;151;233
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;223;223 Zietenterrassen (2);09.06.2024 17:12:13 210;577;142;0;719;378;0;3;375;118;257
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;301;301 Hagenberg (1);09.06.2024 17:12:13 210;671;99;0;770;318;1;5;313;101;212
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;302;302 Hagenberg (2);09.06.2024 17:12:13 210;802;78;0;880;310;0;2;308;124;184
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;303;303 Robert-Bosch-Breite;09.06.2024 17:12:13 210;651;55;0;706;208;0;7;201;73;128
