version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;D1;D2
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;217;217 Alt-Geismar (2);09.06.2024 17:12:13 210;757;163;0;920;432;0;4;428;241;187
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;218;218 Treuenhagen (1);09.06.2024 17:12:13 210;541;101;0;642;336;2;0;336;173;163
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;219;219 Treuenhagen (2);09.06.2024 17:12:13 210;506;114;0;620;338;0;8;330;186;144
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;220;220 Kiessee-Karree (1);09.06.2024 17:12:13 210;520;107;0;627;308;0;7;301;157;144
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;221;221 Zietenterrassen (1);09.06.2024 17:12:13 210;1071;191;0;1262;554;0;6;548;278;270
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;222;222 Kiessee-Karree (2);09.06.2024 17:12:13 210;546;205;0;751;394;0;4;390;214;176
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;223;223 Zietenterrassen (2);09.06.2024 17:12:13 210;577;142;0;719;378;0;3;375;159;216
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;301;301 Hagenberg (1);09.06.2024 17:12:13 210;671;99;0;770;317;1;3;314;128;186
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;302;302 Hagenberg (2);09.06.2024 17:12:13 210;802;78;0;880;308;0;0;308;140;168
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;303;303 Robert-Bosch-Breite;09.06.2024 17:12:13 210;651;55;0;706;206;0;6;200;84;116
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;304;304 Pfalz-Grona-Breite (1);09.06.2024 17:12:13 210;638;63;0;701;269;0;5;264;162;102
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;305;305 Pfalz-Grona-Breite (2);09.06.2024 17:12:13 210;681;59;0;740;260;0;3;257;165;92
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;306;306 Egelsberg (1);09.06.2024 17:12:13 210;619;91;0;710;335;0;2;333;188;145
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;307;307 Egelsberg (2);09.06.2024 17:12:13 210;584;75;0;659;294;0;7;287;135;152
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;308;308 Saline (1);09.06.2024 17:12:13 210;882;86;0;968;306;1;3;303;154;149
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;309;309 Saline (2);09.06.2024 17:12:13 210;700;86;0;786;275;1;7;268;96;172
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;310;310 Springmühle (1);09.06.2024 17:12:13 210;1000;82;0;1082;266;0;4;262;120;142
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;311;311 Alt-Grone (1);09.06.2024 17:12:13 210;715;67;0;782;332;0;6;326;121;205
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;312;312 Grone-Süd (1);09.06.2024 17:12:13 210;734;55;0;789;277;0;15;262;139;123
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;313;313 Grone-Süd (2);09.06.2024 17:12:13 210;519;18;0;537;193;1;7;186;100;86
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;314;314 Grone-Süd (3);09.06.2024 17:12:13 210;586;49;0;635;178;0;3;175;68;107
