version;wahl-behoerde-gs;wahl-datum;wahl-name;wahl-leiter-gs;wahl-leiter-name;gebiet-ebene-5-nr;gebiet-ebene-5-name;gebiet-ebene-4-nr;gebiet-ebene-4-name;gebiet-ebene-3-nr;gebiet-ebene-3-name;gebiet-ebene-2-nr;gebiet-ebene-2-name;bezirk-nr;bezirk-name;BRIEFWAHLBEZIRK-NR;bezirk-art;bezirk-repräsentativ;kandidat-gebiet-nr;kandidat-gebiet-bezeichnung;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;05914000;Stadt Hagen;;;;;137;137 Hagen - Ennepe-Ruhr-Kreis I;05;05 Fleyer Viertel;1054;1054 Lützowstr.;8010;W;;137;137 Hagen - Ennepe-Ruhr-Kreis I;;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;05914000;Stadt Hagen;;;;;137;137 Hagen - Ennepe-Ruhr-Kreis I;05;05 Fleyer Viertel;1055;1055 Bredelle;8010;W;;137;137 Hagen - Ennepe-Ruhr-Kreis I;;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;05914000;Stadt Hagen;;;;;137;137 Hagen - Ennepe-Ruhr-Kreis I;06;06 Eppenhausen;1061;1061 Walddorfstr.;8011;W;;137;137 Hagen - Ennepe-Ruhr-Kreis I;;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;05914000;Stadt Hagen;;;;;137;137 Hagen - Ennepe-Ruhr-Kreis I;06;06 Eppenhausen;1062;1062 Ascherothstr.;8011;W;;137;137 Hagen - Ennepe-Ruhr-Kreis I;;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;05914000;Stadt Hagen;;;;;137;137 Hagen - Ennepe-Ruhr-Kreis I;06;06 Eppenhausen;1063;1063 Boloh;8012;W;;137;137 Hagen - Ennepe-Ruhr-Kreis I;;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;05914000;Stadt Hagen;;;;;137;137 Hagen - Ennepe-Ruhr-Kreis I;06;06 Eppenhausen;1064;1064 Haferkamp;8012;W;;137;137 Hagen - Ennepe-Ruhr-Kreis I;;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;05914000;Stadt Hagen;;;;;137;137 Hagen - Ennepe-Ruhr-Kreis I;06;06 Eppenhausen;1065;1065 Fachhochschule;8012;W;;137;137 Hagen - Ennepe-Ruhr-Kreis I;;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;05914000;Stadt Hagen;;;;;137;137 Hagen - Ennepe-Ruhr-Kreis I;07;07 Emst;1071;1071 Am Waldesrand;8013;W;;137;137 Hagen - Ennepe-Ruhr-Kreis I;;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;05914000;Stadt Hagen;;;;;137;137 Hagen - Ennepe-Ruhr-Kreis I;07;07 Emst;1072;1072 Alt-Emst;8013;W;;137;137 Hagen - Ennepe-Ruhr-Kreis I;;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;05914000;Stadt Hagen;;;;;137;137 Hagen - Ennepe-Ruhr-Kreis I;07;07 Emst;1073;1073 Fritz-Steinhoff-Park;8013;W;;137;137 Hagen - Ennepe-Ruhr-Kreis I;;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;05914000;Stadt Hagen;;;;;137;137 Hagen - Ennepe-Ruhr-Kreis I;07;07 Emst;1074;1074 Max-Planck-Str. / Haßley;8014;W;;137;137 Hagen - Ennepe-Ruhr-Kreis I;;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;05914000;Stadt Hagen;;;;;137;137 Hagen - Ennepe-Ruhr-Kreis I;07;07 Emst;1075;1075 Bissingheim;8014;W;;137;137 Hagen - Ennepe-Ruhr-Kreis I;;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;05914000;Stadt Hagen;;;;;137;137 Hagen - Ennepe-Ruhr-Kreis I;08;08 Remberg;1081;1081 Haldener Str.;8015;W;;137;137 Hagen - Ennepe-Ruhr-Kreis I;;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;05914000;Stadt Hagen;;;;;137;137 Hagen - Ennepe-Ruhr-Kreis I;08;08 Remberg;1082;1082 Rembergstr.;8015;W;;137;137 Hagen - Ennepe-Ruhr-Kreis I;;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;05914000;Stadt Hagen;;;;;137;137 Hagen - Ennepe-Ruhr-Kreis I;08;08 Remberg;1083;1083 Eickertstr.;8015;W;;137;137 Hagen - Ennepe-Ruhr-Kreis I;;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;05914000;Stadt Hagen;;;;;137;137 Hagen - Ennepe-Ruhr-Kreis I;08;08 Remberg;1084;1084 Bülowstr.;8016;W;;137;137 Hagen - Ennepe-Ruhr-Kreis I;;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;05914000;Stadt Hagen;;;;;137;137 Hagen - Ennepe-Ruhr-Kreis I;08;08 Remberg;1085;1085 Eppenhauser Str.;8016;W;;137;137 Hagen - Ennepe-Ruhr-Kreis I;;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;05914000;Stadt Hagen;;;;;137;137 Hagen - Ennepe-Ruhr-Kreis I;09;09 Wehringhausen/Stadtgarten;1091;1091 Minervastr.;8017;W;;137;137 Hagen - Ennepe-Ruhr-Kreis I;;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;05914000;Stadt Hagen;;;;;137;137 Hagen - Ennepe-Ruhr-Kreis I;09;09 Wehringhausen/Stadtgarten;1092;1092 St. Michael-Kirche;8017;W;;137;137 Hagen - Ennepe-Ruhr-Kreis I;;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;05914000;Stadt Hagen;;;;;137;137 Hagen - Ennepe-Ruhr-Kreis I;09;09 Wehringhausen/Stadtgarten;1093;1093 Stadtgarten;8018;W;;137;137 Hagen - Ennepe-Ruhr-Kreis I;;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;05914000;Stadt Hagen;;;;;137;137 Hagen - Ennepe-Ruhr-Kreis I;09;09 Wehringhausen/Stadtgarten;1094;1094 Sternwarte;8018;W;;137;137 Hagen - Ennepe-Ruhr-Kreis I;;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;05914000;Stadt Hagen;;;;;137;137 Hagen - Ennepe-Ruhr-Kreis I;10;10 Wehringhausen/Kuhlerkamp;1101;1101 Cunosiedlung;8019;W;;137;137 Hagen - Ennepe-Ruhr-Kreis I;;
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;05914000;Stadt Hagen;;;;;137;137 Hagen - Ennepe-Ruhr-Kreis I;10;10 Wehringhausen/Kuhlerkamp;1102;1102 Kuhlerkamp;8019;W;;137;137 Hagen - Ennepe-Ruhr-Kreis I;;
