version;wahl-behoerde-gs;wahl-datum;wahl-name;partei-kurzname;partei-langname;kandidat-name;kandidat-namensvorsatz;kandidat-vorname;kandidat-akadgrad;kandidat-geburtsjahr;kandidat-geschlecht;kandidat-beruf;kandidat-gebiet-nr;kandidat-listenplatz
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;CDU;Christlich Demokratische Union Deutschlands;Preiser-Marian;;Sabine;;1971;W;Bürgermeisterin;;
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;DIE LINKE;DIE LINKE;Bell;;Thomas Alfred;;1966;M;Beamter;;
