version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;D1;D2
0.2;06414000;01.11.2020;Citybahn;0651;0651 Christuskirchengemeinde;;1146;148;0;1294;353;3;2;351;123;228
0.2;06414000;01.11.2020;Citybahn;0652;0652 Kinderhaus Kleinfeldchen;;734;73;0;807;113;1;0;113;27;86
0.2;06414000;01.11.2020;Citybahn;0661;0661 Gerh.-Hauptmann-Schule;;817;106;0;923;180;1;0;180;60;120
0.2;06414000;01.11.2020;Citybahn;0671;0671 Leibnizschule (Neubau);;744;332;0;1076;345;0;2;343;165;178
0.2;06414000;01.11.2020;Citybahn;0711;0711 Sophie-u.-Hans-Scholl-Schule;;961;50;0;1011;174;0;0;174;43;131
0.2;06414000;01.11.2020;Citybahn;0712;0712 Sophie-u.-Hans-Scholl-Schule;;799;56;0;855;176;0;0;176;44;132
0.2;06414000;01.11.2020;Citybahn;0713;0713 Sophie-u.-Hans-Scholl-Schule;;883;116;0;999;193;2;0;193;56;137
0.2;06414000;01.11.2020;Citybahn;0721;0721 Sophie-u.-Hans-Scholl-Schule;;649;166;0;815;249;2;2;247;72;175
0.2;06414000;01.11.2020;Citybahn;0722;0722 Sophie-u.-Hans-Scholl-Schule;;867;194;0;1061;226;0;0;226;57;169
0.2;06414000;01.11.2020;Citybahn;0723;0723 Sophie-u.-Hans-Scholl-Schule;;971;209;0;1180;254;0;3;251;85;166
0.2;06414000;01.11.2020;Citybahn;0724;0724 Sophie-u.-Hans-Scholl-Schule;;803;308;0;1111;341;2;3;338;111;227
0.2;06414000;01.11.2020;Citybahn;0811;0811 Elly-Heuss-Schule;;1012;141;0;1153;178;0;0;178;117;61
0.2;06414000;01.11.2020;Citybahn;0812;0812 Elly-Heuss-Schule;;1379;159;0;1538;322;0;1;321;177;144
0.2;06414000;01.11.2020;Citybahn;0813;0813 Elly-Heuss-Schule;;1605;166;0;1771;251;2;0;251;155;96
0.2;06414000;01.11.2020;Citybahn;0821;0821 Leibnizschule (Neubau);;1003;279;0;1282;341;0;2;339;218;121
0.2;06414000;01.11.2020;Citybahn;0822;0822 Blücherschule;;1270;237;0;1507;558;6;2;556;352;204
0.2;06414000;01.11.2020;Citybahn;0823;0823 Blücherschule;;1335;290;0;1625;499;4;2;497;348;149
0.2;06414000;01.11.2020;Citybahn;0824;0824 Blücherschule;;883;256;0;1139;366;2;2;364;242;122
0.2;06414000;01.11.2020;Citybahn;0825;0825 Blücherschule;;1113;165;0;1278;349;0;1;348;217;131
0.2;06414000;01.11.2020;Citybahn;0826;0826 Leibnizschule (Neubau);;792;127;0;919;341;2;1;340;196;144
0.2;06414000;01.11.2020;Citybahn;1111;1111 Bürgerhaus Sonnenberg;;824;294;0;1118;350;3;0;350;123;227
0.2;06414000;01.11.2020;Citybahn;1121;1121 SchulKinderhaus;;600;369;0;969;247;3;0;247;80;167
0.2;06414000;01.11.2020;Citybahn;1131;1131 Kath. Kirchengem. Herz Jesu;;826;370;0;1196;392;2;0;392;101;291
0.2;06414000;01.11.2020;Citybahn;1132;1132 SchulKinderhaus;;601;395;0;996;254;0;0;254;67;187
0.2;06414000;01.11.2020;Citybahn;1141;1141 Ev. Kirchengemeinde Wartburg;;793;419;0;1212;371;1;1;370;109;261
0.2;06414000;01.11.2020;Citybahn;1171;1171 Ludwig-Eibach-Haus (App-Haus);;558;241;0;799;230;0;0;230;81;149
0.2;06414000;01.11.2020;Citybahn;1211;1211 Gemeindehaus ev. Kirchengemeinde;;725;198;0;923;335;0;0;335;107;228
0.2;06414000;01.11.2020;Citybahn;1212;1212 Theodor-Fliedner-Schule;;729;206;0;935;386;0;2;384;134;250
0.2;06414000;01.11.2020;Citybahn;1213;1213 Theodor-Fliedner-Schule;;936;99;0;1035;303;1;1;302;108;194
0.2;06414000;01.11.2020;Citybahn;1214;1214 Grundschule Bierstadt;;596;142;0;738;221;0;0;221;78;143
0.2;06414000;01.11.2020;Citybahn;1215;1215 Gemeindehaus ev. Kirchengemeinde;;582;178;0;760;242;1;1;241;87;154
0.2;06414000;01.11.2020;Citybahn;1221;1221 Altenhilfezentrum Konrad Arndt;;645;249;0;894;274;1;2;272;89;183
0.2;06414000;01.11.2020;Citybahn;1222;1222 Altenwohnanlage Konrad Arndt;;706;160;0;866;274;0;0;274;77;197
0.2;06414000;01.11.2020;Citybahn;1223;1223 Altenwohnanlage Konrad Arndt;;560;161;0;721;172;0;0;172;51;121
0.2;06414000;01.11.2020;Citybahn;1241;1241 Altenhilfezentrum Konrad Arndt;;400;104;0;504;123;0;0;123;46;77
0.2;06414000;01.11.2020;Citybahn;1261;1261 Grundschule Bierstadt;;777;220;0;997;319;0;1;318;109;209
0.2;06414000;01.11.2020;Citybahn;1271;1271 Evangelische Versöhnungsgemeinde;;889;259;0;1148;414;0;2;412;144;268
0.2;06414000;01.11.2020;Citybahn;1311;1311 Justus-v-Liebig-Schule(Neubau);;1211;289;0;1500;497;2;3;494;154;340
0.2;06414000;01.11.2020;Citybahn;1312;1312 Justus-v-Liebig-Schule(Neubau);;1282;243;0;1525;411;0;3;408;106;302
0.2;06414000;01.11.2020;Citybahn;1313;1313 Justus-v-Liebig-Schule(Neubau);;1063;256;0;1319;356;1;2;354;96;258
0.2;06414000;01.11.2020;Citybahn;1321;1321 Hermann-Ehlers-Schule;;929;124;0;1053;177;0;1;176;52;124
0.2;06414000;01.11.2020;Citybahn;1322;1322 Hermann-Ehlers-Schule;;1090;136;0;1226;282;4;0;282;89;193
0.2;06414000;01.11.2020;Citybahn;1411;1411 Fluxusschule Biebrich;;1204;113;0;1317;321;0;1;320;105;215
0.2;06414000;01.11.2020;Citybahn;1412;1412 Rathaus Biebrich;;821;132;0;953;283;2;1;282;64;218
0.2;06414000;01.11.2020;Citybahn;1413;1413 Wilh.-Heinrich-v.-Riehl-Schule;;874;108;0;982;228;0;1;227;78;149
0.2;06414000;01.11.2020;Citybahn;1414;1414 Wilh.-Heinrich-v.-Riehl-Schule;;1013;132;0;1145;371;1;4;367;112;255
0.2;06414000;01.11.2020;Citybahn;1415;1415 Wilh.-Heinrich-v.-Riehl-Schule;;1044;281;0;1325;400;1;1;399;128;271
0.2;06414000;01.11.2020;Citybahn;1416;1416 Galatea-Anlagen;;1280;322;0;1602;437;6;0;437;152;285
0.2;06414000;01.11.2020;Citybahn;1417;1417 Goetheschule;;1283;278;0;1561;466;2;0;466;144;322
0.2;06414000;01.11.2020;Citybahn;1421;1421 Pestalozzischule;;1000;251;0;1251;445;0;1;444;129;315
0.2;06414000;01.11.2020;Citybahn;1431;1431 Wilh.-Heinrich-v.-Riehl-Schule;;855;344;0;1199;368;3;0;368;102;266
0.2;06414000;01.11.2020;Citybahn;1471;1471 Altenwohnanlage Parkfeld II;;889;68;0;957;257;0;0;257;60;197
0.2;06414000;01.11.2020;Citybahn;1472;1472 Otto-Stückrath-Schule;;759;142;0;901;315;0;1;314;71;243
0.2;06414000;01.11.2020;Citybahn;1473;1473 Otto-Stückrath-Schule;;650;231;0;881;362;2;2;360;100;260
0.2;06414000;01.11.2020;Citybahn;1481;1481 Otto-Stückrath-Schule;;666;260;0;926;331;4;0;331;72;259
0.2;06414000;01.11.2020;Citybahn;1511;1511 Ludwig-Beck-Schule;;828;68;0;896;160;0;3;157;33;124
0.2;06414000;01.11.2020;Citybahn;1512;1512 Fr.-v.-Bodelschwingh-Schule;;945;66;0;1011;221;0;0;221;52;169
0.2;06414000;01.11.2020;Citybahn;1513;1513 Ludwig-Beck-Schule;;815;183;0;998;282;0;0;282;73;209
0.2;06414000;01.11.2020;Citybahn;1514;1514 Fr.-v.-Bodelschwingh-Schule;;968;151;0;1119;273;0;1;272;85;187
0.2;06414000;01.11.2020;Citybahn;1531;1531 Diesterwegschule;;726;351;0;1077;400;1;0;400;127;273
0.2;06414000;01.11.2020;Citybahn;1541;1541 Diesterwegschule;;1197;267;0;1464;275;0;0;275;97;178
0.2;06414000;01.11.2020;Citybahn;1542;1542 Diesterwegschule;;956;210;0;1166;446;1;1;445;168;277
0.2;06414000;01.11.2020;Citybahn;1543;1543 Diesterwegschule;;720;139;0;859;288;0;0;288;113;175
