Stimmbezirk;S_Name;S_URL;Stadtbezirk;Wahlbezirk;W_Name;W_URL
1044;1044 Polizeipräsidium;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1044_Polizeipraesidium.html;Hagen-Mitte;04;04 Altenhagen-Ost;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_04_AltenhagenOst.html
1051;1051 Höing;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1051_Hoeing.html;Hagen-Mitte;05;05 Fleyerviertel;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_05_Fleyerviertel.html
1052;1052 Fleyer Str.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1052_Fleyer_Str.html;Hagen-Mitte;05;05 Fleyerviertel;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_05_Fleyerviertel.html
1053;1053 Tondernsiedlung;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1053_Tondernsiedlung.html;Hagen-Mitte;05;05 Fleyerviertel;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_05_Fleyerviertel.html
1054;1054 Lützowstr.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1054_Luetzowstr.html;Hagen-Mitte;05;05 Fleyerviertel;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_05_Fleyerviertel.html
1055;1055 Bredelle;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1055_Bredelle.html;Hagen-Mitte;05;05 Fleyerviertel;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_05_Fleyerviertel.html
1061;1061 Walddorfstr.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1061_Walddorfstr.html;Hagen-Mitte;06;06 Eppenhausen;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_06_Eppenhausen.html
1062;1062 Ascherothstr.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1062_Ascherothstr.html;Hagen-Mitte;06;06 Eppenhausen;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_06_Eppenhausen.html
1063;1063 Boloh;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1063_Boloh.html;Hagen-Mitte;06;06 Eppenhausen;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_06_Eppenhausen.html
1064;1064 Haferkamp;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1064_Haferkamp.html;Hagen-Mitte;06;06 Eppenhausen;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_06_Eppenhausen.html
