gebiet-ebene-5-nr;gebiet-ebene-5-name;gebiet-ebene-4-nr;gebiet-ebene-4-name;gebiet-ebene-3-nr;gebiet-ebene-3-name;gebiet-ebene-2-nr;gebiet-ebene-2-name;bezirk-nr;bezirk-name;bezirk-art;bezirk-repräsentativ;kandidat-gebiet-nr;kandidat-gebiet-bezeichnung;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung
;;;;1;Hagen-Mitte;10;10 Wehringhausen/Kuhlerkamp;1106;1106 Wilhelmsplatz;U;;10;10 Wehringhausen/Kuhlerkamp;;
;;;;2;Hagen-Nord;11;11 Boele/Hengstey/Brockhausen;2111;2111 Brockhausen;U;;11;11 Boele/Hengstey/Brockhausen;;
;;;;2;Hagen-Nord;11;11 Boele/Hengstey/Brockhausen;2112;2112 Niedernhofstr.;U;;11;11 Boele/Hengstey/Brockhausen;;
;;;;2;Hagen-Nord;11;11 Boele/Hengstey/Brockhausen;2113;2113 Hilgenland;U;;11;11 Boele/Hengstey/Brockhausen;;
;;;;2;Hagen-Nord;11;11 Boele/Hengstey/Brockhausen;2114;2114 Hagener Str.;U;;11;11 Boele/Hengstey/Brockhausen;;
;;;;2;Hagen-Nord;11;11 Boele/Hengstey/Brockhausen;2115;2115 Boele Kirche;U;;11;11 Boele/Hengstey/Brockhausen;;
;;;;2;Hagen-Nord;11;11 Boele/Hengstey/Brockhausen;2116;2116 Allensteiner Str. / Hengstey;U;;11;11 Boele/Hengstey/Brockhausen;;
;;;;2;Hagen-Nord;12;12 Kabel/Bathey/Garenfeld;2121;2121 Fritz-Steinhoff-Schule;U;;12;12 Kabel/Bathey/Garenfeld;;
;;;;2;Hagen-Nord;12;12 Kabel/Bathey/Garenfeld;2122;2122 Borgenfeldstr.;U;;12;12 Kabel/Bathey/Garenfeld;;
;;;;2;Hagen-Nord;12;12 Kabel/Bathey/Garenfeld;2123;2123 Knüwenstr.;U;;12;12 Kabel/Bathey/Garenfeld;;
;;;;2;Hagen-Nord;12;12 Kabel/Bathey/Garenfeld;2124;2124 Steinhausstr.;U;;12;12 Kabel/Bathey/Garenfeld;;
;;;;2;Hagen-Nord;12;12 Kabel/Bathey/Garenfeld;2125;2125 Bathey;U;;12;12 Kabel/Bathey/Garenfeld;;
;;;;2;Hagen-Nord;12;12 Kabel/Bathey/Garenfeld;2126;2126 Garenfeld;U;;12;12 Kabel/Bathey/Garenfeld;;
;;;;2;Hagen-Nord;13;13 Helfe/Fley;2131;2131 Helfer Str.;U;;13;13 Helfe/Fley;;
;;;;2;Hagen-Nord;13;13 Helfe/Fley;2132;2132 AWO-Heim Helfe;U;;13;13 Helfe/Fley;;
;;;;2;Hagen-Nord;13;13 Helfe/Fley;2133;2133 Louise-Schröder-Str.;U;;13;13 Helfe/Fley;;
;;;;2;Hagen-Nord;13;13 Helfe/Fley;2134;2134 Fley;U;;13;13 Helfe/Fley;;
;;;;2;Hagen-Nord;13;13 Helfe/Fley;2135;2135 Buschstr.;U;;13;13 Helfe/Fley;;
;;;;2;Hagen-Nord;13;13 Helfe/Fley;2136;2136 Pappelstr.;U;;13;13 Helfe/Fley;;
;;;;2;Hagen-Nord;14;14 Boelerheide;2141;2141 Freiligrathstr.;U;;14;14 Boelerheide;;
;;;;2;Hagen-Nord;14;14 Boelerheide;2142;2142 Sonntagstr.;U;;14;14 Boelerheide;;
;;;;2;Hagen-Nord;14;14 Boelerheide;2143;2143 Wilhelm-Leuschner-Str.;U;;14;14 Boelerheide;;
;;;;2;Hagen-Nord;14;14 Boelerheide;2144;2144 Hügelstr.;U;;14;14 Boelerheide;;
;;;;2;Hagen-Nord;14;14 Boelerheide;2145;2145 Hamecke;U;;14;14 Boelerheide;;
;;;;2;Hagen-Nord;15;15 Vorhalle/Eckesey;2151;2151 Masurenstr. / Aehringhausen / Voßacker;U;;15;15 Vorhalle/Eckesey;;
;;;;2;Hagen-Nord;15;15 Vorhalle/Eckesey;2152;2152 Vorhalle-Zentrum;U;;15;15 Vorhalle/Eckesey;;
;;;;2;Hagen-Nord;15;15 Vorhalle/Eckesey;2153;2153 Wielandplatz / Becheltestr.;U;;15;15 Vorhalle/Eckesey;;
;;;;2;Hagen-Nord;15;15 Vorhalle/Eckesey;2154;2154 Lindenstr. / Funkenhausen;U;;15;15 Vorhalle/Eckesey;;
;;;;3;Hohenlimburg;16;16 Hohenlimburg-Nord;3161;3161 Halden;U;;16;16 Hohenlimburg-Nord;;
;;;;3;Hohenlimburg;16;16 Hohenlimburg-Nord;3162;3162 Bandstahlstr.;U;;16;16 Hohenlimburg-Nord;;
;;;;3;Hohenlimburg;16;16 Hohenlimburg-Nord;3163;3163 Herbeck;U;;16;16 Hohenlimburg-Nord;;
;;;;3;Hohenlimburg;16;16 Hohenlimburg-Nord;3164;3164 Berchum;U;;16;16 Hohenlimburg-Nord;;
;;;;3;Hohenlimburg;16;16 Hohenlimburg-Nord;3165;3165 Reh / Henkhausen;U;;16;16 Hohenlimburg-Nord;;
;;;;3;Hohenlimburg;16;16 Hohenlimburg-Nord;3166;3166 Kirchenberg;U;;16;16 Hohenlimburg-Nord;;
;;;;3;Hohenlimburg;17;17 Hohenlimburg-Ost;3171;3171 Im Gersegge;U;;17;17 Hohenlimburg-Ost;;
;;;;3;Hohenlimburg;17;17 Hohenlimburg-Ost;3172;3172 Wiesenstr.;U;;17;17 Hohenlimburg-Ost;;
;;;;3;Hohenlimburg;17;17 Hohenlimburg-Ost;3173;3173 Im Sibb;U;;17;17 Hohenlimburg-Ost;;
;;;;3;Hohenlimburg;17;17 Hohenlimburg-Ost;3174;3174 Auf der Heide;U;;17;17 Hohenlimburg-Ost;;
;;;;3;Hohenlimburg;17;17 Hohenlimburg-Ost;3175;3175 Elsey;U;;17;17 Hohenlimburg-Ost;;
;;;;3;Hohenlimburg;17;17 Hohenlimburg-Ost;3176;3176 Bezirksverwaltungsstelle Hohenlimburg;U;;17;17 Hohenlimburg-Ost;;
;;;;3;Hohenlimburg;18;18 Hohenlimburg-Süd;3181;3181 Oeger Str. / Oege;U;;18;18 Hohenlimburg-Süd;;
;;;;3;Hohenlimburg;18;18 Hohenlimburg-Süd;3182;3182 Wilhelmstr.;U;;18;18 Hohenlimburg-Süd;;
;;;;3;Hohenlimburg;18;18 Hohenlimburg-Süd;3183;3183 Nahmertal;U;;18;18 Hohenlimburg-Süd;;
;;;;3;Hohenlimburg;18;18 Hohenlimburg-Süd;3184;3184 Wesselbach;U;;18;18 Hohenlimburg-Süd;;
