gebiet-ebene-5-nr;gebiet-ebene-5-name;gebiet-ebene-4-nr;gebiet-ebene-4-name;gebiet-ebene-3-nr;gebiet-ebene-3-name;gebiet-ebene-2-nr;gebiet-ebene-2-name;bezirk-nr;bezirk-name;bezirk-art;bezirk-repräsentativ;kandidat-gebiet-nr;kandidat-gebiet-bezeichnung;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung
;;;;;;Westend, Bleichstraße;Westend, Bleichstraße;0812;0812 Elly-Heuss-Schule;U;;;;;
;;;;;;Westend, Bleichstraße;Westend, Bleichstraße;0813;0813 Elly-Heuss-Schule;U;;;;;
;;;;;;Westend, Bleichstraße;Westend, Bleichstraße;0821;0821 Leibnizschule (Neubau);U;;;;;
;;;;;;Westend, Bleichstraße;Westend, Bleichstraße;0822;0822 Blücherschule;U;;;;;
;;;;;;Westend, Bleichstraße;Westend, Bleichstraße;0823;0823 Blücherschule;U;;;;;
;;;;;;Westend, Bleichstraße;Westend, Bleichstraße;0824;0824 Blücherschule;U;;;;;
;;;;;;Westend, Bleichstraße;Westend, Bleichstraße;0825;0825 Blücherschule;U;;;;;
;;;;;;Westend, Bleichstraße;Westend, Bleichstraße;0826;0826 Leibnizschule (Neubau);U;;;;;
;;;;;;Sonnenberg;Sonnenberg;1111;1111 Bürgerhaus Sonnenberg;U;;;;;
;;;;;;Sonnenberg;Sonnenberg;1121;1121 SchulKinderhaus;U;;;;;
;;;;;;Sonnenberg;Sonnenberg;1131;1131 Kath. Kirchengem. Herz Jesu;U;;;;;
;;;;;;Sonnenberg;Sonnenberg;1132;1132 SchulKinderhaus;U;;;;;
;;;;;;Sonnenberg;Sonnenberg;1141;1141 Ev. Kirchengemeinde Wartburg;U;;;;;
;;;;;;Sonnenberg;Sonnenberg;1171;1171 Ludwig-Eibach-Haus (App-Haus);U;;;;;
;;;;;;Bierstadt;Bierstadt;1211;1211 Gemeindehaus ev. Kirchengemeinde;U;;;;;
;;;;;;Bierstadt;Bierstadt;1212;1212 Theodor-Fliedner-Schule;U;;;;;
;;;;;;Bierstadt;Bierstadt;1213;1213 Theodor-Fliedner-Schule;U;;;;;
;;;;;;Bierstadt;Bierstadt;1214;1214 Grundschule Bierstadt;U;;;;;
;;;;;;Bierstadt;Bierstadt;1215;1215 Gemeindehaus ev. Kirchengemeinde;U;;;;;
;;;;;;Bierstadt;Bierstadt;1221;1221 Altenhilfezentrum Konrad Arndt;U;;;;;
;;;;;;Bierstadt;Bierstadt;1222;1222 Altenwohnanlage Konrad Arndt;U;;;;;
;;;;;;Bierstadt;Bierstadt;1223;1223 Altenwohnanlage Konrad Arndt;U;;;;;
;;;;;;Bierstadt;Bierstadt;1241;1241 Altenhilfezentrum Konrad Arndt;U;;;;;
;;;;;;Bierstadt;Bierstadt;1261;1261 Grundschule Bierstadt;U;;;;;
;;;;;;Bierstadt;Bierstadt;1271;1271 Evangelische Versöhnungsgemeinde;U;;;;;
;;;;;;Erbenheim;Erbenheim;1311;1311 Justus-v-Liebig-Schule(Neubau);U;;;;;
;;;;;;Erbenheim;Erbenheim;1312;1312 Justus-v-Liebig-Schule(Neubau);U;;;;;
;;;;;;Erbenheim;Erbenheim;1313;1313 Justus-v-Liebig-Schule(Neubau);U;;;;;
;;;;;;Erbenheim;Erbenheim;1321;1321 Hermann-Ehlers-Schule;U;;;;;
