version;wahl-behoerde-gs;wahl-datum;wahl-name;partei-kurzname;partei-langname;kandidat-name;kandidat-namensvorsatz;kandidat-vorname;kandidat-akadgrad;kandidat-geburtsjahr;kandidat-geschlecht;kandidat-beruf;kandidat-gebiet-nr;kandidat-listenplatz
0.2;05366000;27.09.2020;Landratsstichwahl NRW;CDU;Christlich Demokratische Union Deutschlands;Winckler;;Johannes;;1970;M;Jurist, 1. Beigeordneter;;
0.2;05366000;27.09.2020;Landratsstichwahl NRW;SPD;Sozialdemokratische Partei Deutschlands;Ramers;;Markus;;1986;M;Lehrer;;
