version;wahl-behoerde-gs;wahl-datum;wahl-name;partei-kurzname;partei-langname;kandidat-name;kandidat-namensvorsatz;kandidat-vorname;kandidat-akadgrad;kandidat-geburtsjahr;kandidat-geschlecht;kandidat-beruf;kandidat-gebiet-nr;kandidat-listenplatz
0.2;05366000;13.09.2020;Landratswahl NRW;AfD;Alternative für Deutschland;Poll;;Frank;;1973;M;Generalbevollmächtigter;;
0.2;05366000;13.09.2020;Landratswahl NRW;CDU;Christlich Demokratische Union Deutschlands;Winckler;;Johannes;;1970;M;Jurist, 1. Beigeordneter;;
0.2;05366000;13.09.2020;Landratswahl NRW;DIE LINKE;DIE LINKE;Hill;;Melanie;;1980;W;Dipl.-Sozialpädagogin;;
0.2;05366000;13.09.2020;Landratswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Ignatowitz;;Hans-Werner;;1968;M;Diplom-Verwaltungswirt;;
0.2;05366000;13.09.2020;Landratswahl NRW;ÖDP;Ökologisch-Demokratische Partei;Dederichs;;Camelia;;1969;W;Ingenieurin;;
0.2;05366000;13.09.2020;Landratswahl NRW;SPD;Sozialdemokratische Partei Deutschlands;Ramers;;Markus;;1986;M;Lehrer;;
