version;wahl-behoerde-gs;wahl-datum;wahl-name;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung;stimmzettel-position;partei-kurzname;partei-langname;partei-rgb-wert;partei-typ
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Hagen-Nord;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hagen-Nord;12;HAK;Hagener Aktivisten-Kreis;#ffe417;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Hohenlimburg;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hohenlimburg;1;CDU;Christlich Demokratische Union Deutschlands;#010101;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Hohenlimburg;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hohenlimburg;2;BfHo;Freie Wählergemeinschaft - Bürger für Hohenlimburg;#9fe1d6;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Hohenlimburg;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hohenlimburg;3;SPD;Sozialdemokratische Partei Deutschlands;#d60029;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Hohenlimburg;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hohenlimburg;4;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;#33cc00;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Hohenlimburg;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hohenlimburg;5;AfD;Alternative für Deutschland;#21c5ff;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Hohenlimburg;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hohenlimburg;6;HagenAKTIV;HagenAktiv-FWG;#0000fc;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Hohenlimburg;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hohenlimburg;7;FDP;Freie Demokratische Partei;#fbee31;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Hohenlimburg;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hohenlimburg;8;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;#a50021;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Hohenlimburg;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hohenlimburg;9;Die Linke;Die Linke;#cc0066;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Hohenlimburg;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hohenlimburg;10;HAK;Hagener Aktivisten-Kreis;#ffe417;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Hohenlimburg;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hohenlimburg;11;BSW;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;#471330;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Hohenlimburg;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hohenlimburg;12;Die Gerechtigkeitspartei;Die Gerechtigkeitspartei – Team Todenhöfer;#a61e4d;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Eilpe-Dahl;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Eilpe-Dahl;1;SPD;Sozialdemokratische Partei Deutschlands;#d60029;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Eilpe-Dahl;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Eilpe-Dahl;2;CDU;Christlich Demokratische Union Deutschlands;#010101;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Eilpe-Dahl;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Eilpe-Dahl;3;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;#33cc00;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Eilpe-Dahl;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Eilpe-Dahl;4;AfD;Alternative für Deutschland;#21c5ff;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Eilpe-Dahl;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Eilpe-Dahl;5;HagenAKTIV;HagenAktiv-FWG;#0000fc;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Eilpe-Dahl;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Eilpe-Dahl;6;FDP;Freie Demokratische Partei;#fbee31;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Eilpe-Dahl;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Eilpe-Dahl;7;Die Linke;Die Linke;#cc0066;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Eilpe-Dahl;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Eilpe-Dahl;8;BSW;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;#471330;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Eilpe-Dahl;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Eilpe-Dahl;9;Die Gerechtigkeitspartei;Die Gerechtigkeitspartei – Team Todenhöfer;#a61e4d;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Eilpe-Dahl;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Eilpe-Dahl;10;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;#a50021;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Eilpe-Dahl;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Eilpe-Dahl;11;Aufstehen Hagen - AHA!;Freie Wählergemeinschaft - Aufstehen Hagen - AHA!;#d94343;P
