version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B2;C;D;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1071;1071 Am Waldesrand;15.09.2025 09:03:13 809;661;359;0;1020;334;2;7;327;94;59;10;64;4;13;7;13;1;3;59
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1072;1072 Alt-Emst;15.09.2025 09:03:13 809;835;404;0;1239;527;0;11;516;145;124;28;84;13;12;7;2;3;2;96
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1073;1073 Fritz-Steinhoff-Park;15.09.2025 09:03:13 809;854;293;0;1147;380;2;2;378;86;85;15;95;10;11;5;16;1;7;47
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1074;1074 Max-Planck-Str. / Haßley;15.09.2025 09:03:13 809;972;343;0;1315;391;0;2;389;89;60;24;120;9;9;10;12;3;6;47
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1075;1075 Bissingheim;15.09.2025 09:03:13 809;732;358;0;1090;435;4;3;432;133;113;23;71;7;10;3;7;3;0;62
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1081;1081 Haldener Str.;15.09.2025 09:03:13 809;899;333;0;1232;393;1;10;383;82;78;17;103;12;13;12;10;3;3;50
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1082;1082 Rembergstr.;15.09.2025 09:03:13 809;1059;360;0;1419;268;7;7;261;33;42;10;90;8;5;21;12;1;7;32
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1083;1083 Eickertstr.;15.09.2025 09:03:13 809;957;382;1;1340;253;3;2;251;50;50;15;66;2;7;4;12;1;6;38
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1084;1084 Bülowstr.;15.09.2025 09:03:13 809;785;284;0;1069;252;0;3;249;39;50;9;81;9;3;13;4;0;0;41
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1085;1085 Eppenhauser Str.;15.09.2025 09:03:13 809;656;221;0;877;182;0;1;181;34;34;5;59;3;4;10;14;2;1;15
