version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B2;C;D;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;D13
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1064;1064 Haferkamp;15.09.2025 09:03:13 809;746;271;0;1017;337;0;3;334;102;69;25;66;8;19;0;12;17;5;9;2;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1065;1065 Fachhochschule;15.09.2025 09:03:13 809;764;335;0;1099;295;0;5;290;76;46;16;81;10;17;0;12;16;1;12;3;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1071;1071 Am Waldesrand;15.09.2025 09:03:13 809;661;359;0;1020;334;2;10;324;115;72;18;68;5;17;0;9;8;2;7;3;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1072;1072 Alt-Emst;15.09.2025 09:03:13 809;835;404;0;1239;523;0;6;517;178;130;46;97;8;27;0;11;7;6;5;2;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1073;1073 Fritz-Steinhoff-Park;15.09.2025 09:03:13 809;854;293;0;1147;380;2;7;373;105;93;19;97;12;12;0;15;11;1;4;4;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1074;1074 Max-Planck-Str. / Haßley;15.09.2025 09:03:13 809;972;343;0;1315;391;4;8;383;112;60;33;123;7;9;0;12;6;5;7;9;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1075;1075 Bissingheim;15.09.2025 09:03:13 809;732;358;0;1090;435;0;2;433;141;135;32;78;8;15;0;10;7;4;3;0;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1081;1081 Haldener Str.;15.09.2025 09:03:13 809;899;333;0;1232;393;1;6;387;102;73;25;115;18;11;0;12;14;8;8;1;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1082;1082 Rembergstr.;15.09.2025 09:03:13 809;1059;360;0;1419;268;6;6;262;35;42;17;102;9;5;0;25;15;2;6;4;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1083;1083 Eickertstr.;15.09.2025 09:03:13 809;957;382;0;1339;253;0;5;248;57;46;19;79;9;11;0;5;18;0;2;2;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1084;1084 Bülowstr.;15.09.2025 09:03:13 809;785;284;0;1069;252;0;8;244;50;49;8;90;9;5;0;21;4;2;4;2;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1085;1085 Eppenhauser Str.;15.09.2025 09:03:13 809;656;221;0;877;182;0;0;182;29;35;8;63;5;9;0;10;11;3;6;3;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1091;1091 Minervastr.;15.09.2025 09:03:13 809;829;144;0;973;244;0;4;240;28;58;34;55;4;1;0;31;11;9;8;1;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1092;1092 St. Michael-Kirche;15.09.2025 09:03:13 809;1167;212;0;1379;327;0;3;324;34;63;52;79;7;6;0;47;16;11;9;0;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1093;1093 Stadtgarten;15.09.2025 09:03:13 809;1046;437;0;1483;425;2;5;420;71;102;67;90;21;14;0;35;6;5;4;5;0
