version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;2134;2134 Fley;15.09.2025 09:03:13 809;568;303;0;871;321;0;1;320;99;52;33;96;7;13;5;2;1;1;;11
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;2135;2135 Buschstr.;15.09.2025 09:03:13 809;684;297;0;981;278;0;2;276;83;43;17;98;12;8;5;3;0;6;;1
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;2136;2136 Pappelstr.;15.09.2025 09:03:13 809;605;165;0;770;242;0;0;242;77;44;10;64;14;11;4;13;0;1;;4
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;2141;2141 Freiligrathstr.;15.09.2025 09:03:13 809;745;159;0;904;287;0;3;284;69;55;12;92;16;16;6;5;1;5;;7
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;2142;2142 Sonntagstr.;15.09.2025 09:03:13 809;920;289;0;1209;385;;4;381;100;66;24;142;10;18;6;3;1;4;;7
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;2143;2143 Wilhelm-Leuschner-Str.;15.09.2025 09:03:13 809;755;185;0;940;320;0;3;317;94;63;15;85;13;17;5;14;2;2;;7
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;2144;2144 Hügelstr.;15.09.2025 09:03:13 809;738;399;0;1137;306;3;5;301;135;49;27;55;5;8;9;4;1;5;;3
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;2145;2145 Hamecke;15.09.2025 09:03:13 809;779;256;0;1035;398;0;11;387;148;63;28;95;12;15;9;7;2;3;;5
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;2151;2151 Masurenstr. / Aehringhausen / Voßacker;15.09.2025 09:03:13 809;1348;386;0;1734;505;2;4;501;126;138;25;122;19;15;7;17;5;6;;21
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;2152;2152 Vorhalle-Zentrum;15.09.2025 09:03:13 809;1359;346;0;1705;514;0;15;499;112;101;30;130;22;22;12;19;2;12;;37
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;2153;2153 Wielandplatz / Becheltestr.;15.09.2025 09:03:13 809;1197;221;0;1418;286;2;3;283;44;53;18;72;5;13;7;22;3;1;;45
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;2154;2154 Lindenstr. / Funkenhausen;15.09.2025 09:03:13 809;1004;247;0;1251;342;0;2;340;98;66;24;96;9;11;2;4;2;4;;24
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6021;6021 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;551;551;2;549;190;110;45;49;17;19;21;14;2;4;;78
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6022;6022 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;768;768;5;763;363;113;57;99;40;14;18;22;5;10;;22
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6023;6023 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;408;408;3;405;110;103;20;67;19;15;7;15;3;8;;38
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6024;6024 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;629;629;2;627;236;132;43;91;32;22;18;19;2;10;;22
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6025;6025 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;522;522;3;519;186;91;41;91;13;18;17;15;1;0;;46
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6026;6026 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;660;660;3;657;251;139;69;114;18;8;24;14;2;2;;16
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6027;6027 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;542;542;4;538;206;104;54;87;18;6;8;10;2;3;;40
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6028;6028 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;609;609;6;603;289;78;62;89;12;16;26;12;1;6;;12
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6029;6029 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;600;600;1;599;147;155;42;80;20;16;13;13;3;9;;101
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6030;6030 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;386;386;2;384;88;67;25;57;9;14;12;41;1;6;;64
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;3161;3161 Halden;15.09.2025 09:03:13 809;845;363;0;1208;501;;5;496;142;19;101;40;130;21;13;2;14;5;9;0
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;3162;3162 Bandstahlstr.;15.09.2025 09:03:13 809;704;398;0;1102;461;1;6;455;142;17;83;48;93;21;13;4;11;11;7;5
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;3163;3163 Herbeck;15.09.2025 09:03:13 809;392;114;0;506;233;4;5;228;53;35;37;11;60;12;3;7;3;5;1;1
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;3164;3164 Berchum;15.09.2025 09:03:13 809;975;402;0;1377;557;0;3;554;170;62;86;48;110;18;15;3;23;7;10;2
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;3165;3165 Reh / Henkhausen;15.09.2025 09:03:13 809;613;241;0;854;362;1;7;355;75;76;70;44;56;12;5;3;6;3;4;1
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;3166;3166 Kirchenberg;15.09.2025 09:03:13 809;552;266;0;818;271;0;7;264;63;72;35;19;41;8;5;2;5;4;9;1
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;3171;3171 Im Gersegge;15.09.2025 09:03:13 809;946;384;0;1330;373;2;0;373;83;72;60;21;99;4;6;0;7;13;7;1
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;3172;3172 Wiesenstr.;15.09.2025 09:03:13 809;632;153;0;785;224;0;3;221;32;36;43;5;71;4;3;0;13;5;9;0
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;3173;3173 Im Sibb;15.09.2025 09:03:13 809;819;293;0;1112;383;0;3;380;69;97;49;27;83;6;8;4;21;4;10;2
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;3174;3174 Auf der Heide;15.09.2025 09:03:13 809;697;295;0;992;352;2;6;346;95;88;30;20;78;7;7;3;12;1;5;0
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;3175;3175 Elsey;15.09.2025 09:03:13 809;875;252;0;1127;276;0;3;273;45;57;45;11;78;10;4;2;5;6;8;2
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;3176;3176 Bezirksverwaltungsstelle Hohenlimburg;15.09.2025 09:03:13 809;605;162;0;767;194;1;4;190;30;47;35;12;38;5;1;1;9;2;9;1
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;3181;3181 Oeger Str. / Oege;15.09.2025 09:03:13 809;883;395;0;1278;277;;6;271;33;86;28;6;71;6;1;5;13;12;7;3
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;3182;3182 Wilhelmstr.;15.09.2025 09:03:13 809;562;272;0;834;230;;2;228;37;72;30;11;57;3;1;5;7;0;3;2
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;3183;3183 Nahmertal;15.09.2025 09:03:13 809;645;260;0;905;247;0;1;246;29;66;33;8;73;12;2;4;6;2;9;2
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;3184;3184 Wesselbach;15.09.2025 09:03:13 809;624;318;0;942;253;;4;249;49;75;22;16;44;6;2;0;9;10;15;1
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;3185;3185 Wesselbachstr.;15.09.2025 09:03:13 809;681;277;0;958;313;0;3;310;41;114;40;20;58;3;5;2;12;2;13;0
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;3191;3191 Holthausen;15.09.2025 09:03:13 809;1025;349;0;1374;555;0;6;549;165;82;81;36;120;18;15;1;11;5;13;2
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;3192;3192 Elseyer Kirchplatz / Am Somborn;15.09.2025 09:03:13 809;1080;362;0;1442;372;;4;368;58;86;58;15;89;7;2;5;20;6;21;1
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;3193;3193 Mozartstr. / Alter Henkhauser Weg;15.09.2025 09:03:13 809;1214;300;0;1514;372;0;6;366;75;48;58;8;120;8;4;3;10;13;14;5
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;3194;3194 Wachtelweg / Am Berge;15.09.2025 09:03:13 809;1004;367;0;1371;458;;8;450;91;116;74;12;112;11;5;4;7;4;10;4
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6031;6031 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;758;758;4;754;255;75;138;76;96;50;24;12;17;5;2;4
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6032;6032 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;809;809;5;804;216;208;122;59;79;38;15;8;13;14;26;6
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6033;6033 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;728;728;4;724;172;177;108;33;88;7;5;7;26;21;65;15
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6034;6034 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;597;597;2;595;144;206;58;29;49;15;4;6;21;6;52;5
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6035;6035 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;818;818;1;817;105;250;84;40;88;19;9;9;18;25;150;20
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6036;6036 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;514;514;5;509;94;167;73;46;49;3;11;4;18;11;30;3
