version ;wahl-behoerde-gs ;wahl-datum ;wahl-name      ;wahl-leiter-gs ;wahl-leiter-name ;gebiet-ebene-5-nr ;gebiet-ebene-5-name ;gebiet-ebene-4-nr ;gebiet-ebene-4-name ;gebiet-ebene-3-nr ;gebiet-ebene-3-name ;gebiet-ebene-2-nr      ;gebiet-ebene-2-name    ;bezirk-nr ;bezirk-name                                    ;bezirk-art ;bezirk-repräsentativ ;kandidat-gebiet-nr ;kandidat-gebiet-bezeichnung ;stimmzettel-gebiet-nr ;stimmzettel-gebiet-bezeichnung
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Südweststadt           ;Südweststadt           ;00422     ;004-22 Goethe-Gymnasium                        ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Südweststadt           ;Südweststadt           ;00423     ;004-23 Kimmelmannschule                        ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Südweststadt           ;Südweststadt           ;00424     ;004-24 Weinbrennerschule                       ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Südweststadt           ;Südweststadt           ;00425     ;004-25 Südendschule                            ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Südweststadt           ;Südweststadt           ;00426     ;004-26 Kimmelmannschule                        ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Südweststadt           ;Südweststadt           ;00427     ;004-27 Südendschule                            ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Südweststadt           ;Südweststadt           ;00428     ;004-28 Goethe-Gymnasium                        ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Südweststadt           ;Südweststadt           ;00429     ;004-29 Südendschule                            ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Weststadt              ;Weststadt              ;00521     ;005-21 Draisschule                             ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Weststadt              ;Weststadt              ;00522     ;005-22 Helmholtz-Gymnasium                     ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Weststadt              ;Weststadt              ;00523     ;005-23 Lessing-Gymnasium                       ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Weststadt              ;Weststadt              ;00524     ;005-24 Lessing-Gymnasium                       ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Weststadt              ;Weststadt              ;00525     ;005-25 Weinbrennerschule                       ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Weststadt              ;Weststadt              ;00526     ;005-26 Lessing-Gymnasium                       ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
