datum;ags;Strassen-Name;Hausnummern-Bereich;PLZ;Ortsteil;Bezirk-Nr
13.09.2020;05914000;Am Volmeblick;;;;4223
13.09.2020;05914000;Am Volmewehr;;;;4222
13.09.2020;05914000;Am Waldesrand;;;;1071
13.09.2020;05914000;Am Waldhang;2-26;;;1093
13.09.2020;05914000;Am Waldhang;42,46;;;1013
13.09.2020;05914000;Am Waldwege;;;;4211
13.09.2020;05914000;Am Weitblick;;;;4204
13.09.2020;05914000;Am Widey;;;;1021
13.09.2020;05914000;Am Wiembusch;;;;5232
13.09.2020;05914000;Am Winterhof;;;;2151
13.09.2020;05914000;Ambrocker Weg;;;;4222
13.09.2020;05914000;Amselgasse;;;;1063
13.09.2020;05914000;Amselweg;;;;3194
13.09.2020;05914000;An dem Heerwege;;;;1073
13.09.2020;05914000;An den Eichen;;;;2126
13.09.2020;05914000;An der Böschung;;;;1063
13.09.2020;05914000;An der Egge;4;;;1072
13.09.2020;05914000;An der Egge;1-7 ung.,8-36;;;1075
13.09.2020;05914000;An der Herberge;;;;3174
13.09.2020;05914000;An der Hütte;;;;5262
13.09.2020;05914000;An der Kehle;;;;3185
13.09.2020;05914000;An der Kohlenbahn;;;;5244
13.09.2020;05914000;An der Koppel;2-12 ger.;;;4203
13.09.2020;05914000;An der Koppel;1-11 ung.;;;4204
13.09.2020;05914000;An der Spechtert;;;;4224
13.09.2020;05914000;An der Stahlschmiede;;;;3183
13.09.2020;05914000;An der Steigung;;;;3164
13.09.2020;05914000;An der Turnhalle;;;;4224
13.09.2020;05914000;An der Wacht;;;;5265
13.09.2020;05914000;An der Wallburg;;;;4222
13.09.2020;05914000;An der Zeche;;;;4221
13.09.2020;05914000;Angerburger Str.;;;;2116
13.09.2020;05914000;Angerpfad;;;;2134
13.09.2020;05914000;Annaberghöhe;;;;1072
13.09.2020;05914000;Ardeyweg;;;;3162
13.09.2020;05914000;Arndtstr.;4-12 ger.;;;1083
13.09.2020;05914000;Arndtstr.;36-46 ger.;;;1023
13.09.2020;05914000;Arndtstr.;18-34 ger.;;;1082
13.09.2020;05914000;Arndtstr.;3-23 ung.;;;1021
13.09.2020;05914000;Arndtstr.;25-55 ung.;;;1022
13.09.2020;05914000;Aschenbergstr.;2-8,14,16;;;1051
13.09.2020;05914000;Aschenbergstr.;13-21 ung.;;;1055
13.09.2020;05914000;Ascherothstr.;;;;1062
13.09.2020;05914000;Asker Str.;;;;5266
13.09.2020;05914000;Asternstr.;;;;1081
13.09.2020;05914000;Auf dem Bauloh;1-7,14-40 ger.;;;3193
13.09.2020;05914000;Auf dem Bauloh;9-37 ung.;;;3165
13.09.2020;05914000;Auf dem Berge;;;;1101
13.09.2020;05914000;Auf dem Birnbaum;;;;1075
13.09.2020;05914000;Auf dem Blumenkampe;;;;3164
13.09.2020;05914000;Auf dem Boden;;;;1075
13.09.2020;05914000;Auf dem Burhof;;;;3164
13.09.2020;05914000;Auf dem Dörrwald;;;;1075
13.09.2020;05914000;Auf dem Dreische;;;;3173
13.09.2020;05914000;Auf dem Dümpel;;;;3161
13.09.2020;05914000;Auf dem Gellenkamp;;;;5255
13.09.2020;05914000;Auf dem Gelling;;;;5234
13.09.2020;05914000;Auf dem Goldberg;;;;4202
13.09.2020;05914000;Auf dem Graskamp;;;;2125
13.09.2020;05914000;Auf dem Hoppenstück;;;;4204
13.09.2020;05914000;Auf dem Hövel;;;;3164
13.09.2020;05914000;Auf dem Kämpchen;;;;1075
13.09.2020;05914000;Auf dem Killing;;;;4212
13.09.2020;05914000;Auf dem Königsberg;;;;1052
13.09.2020;05914000;Auf dem Kuhl;4-52 ger.,53-66;;;2132
13.09.2020;05914000;Auf dem Kuhl;1-37 ung.;;;2136
13.09.2020;05914000;Auf dem Lölfert;;;;3171
13.09.2020;05914000;Auf dem Mühlhof;;;;3165
13.09.2020;05914000;Auf dem Pellerstück;;;;3164
13.09.2020;05914000;Auf dem Piepenstöcken;;;;5255
13.09.2020;05914000;Auf dem Rode;;;;5234
13.09.2020;05914000;Auf dem Roland;;;;3182
13.09.2020;05914000;Auf dem Stein;;;;4222
13.09.2020;05914000;Auf dem Steinbrink;;;;5251
13.09.2020;05914000;Auf dem Wichterbruch;;;;5243
13.09.2020;05914000;Auf der Breite;;;;1061
13.09.2020;05914000;Auf der End;;;;4224
13.09.2020;05914000;Auf der Halle;;;;5234
13.09.2020;05914000;Auf der Hebbecke;;;;4222
13.09.2020;05914000;Auf der Heide;;;;3174
13.09.2020;05914000;Auf der Kugel;;;;1072
13.09.2020;05914000;Auf der Lindhaardt;;;;3181
13.09.2020;05914000;Auf der Rolandshöh;;;;5253
13.09.2020;05914000;Auf der Steinhard;;;;3164
13.09.2020;05914000;Augustastr.;1-13 ung.;;;1012
13.09.2020;05914000;Augustastr.;77-93;;;1092
13.09.2020;05914000;Augustastr.;14-56,62-66 ger.;;;1104
13.09.2020;05914000;Augustastr.;57-73 ung.;;;1106
13.09.2020;05914000;Bachstr.;20-38,40;;;1092
13.09.2020;05914000;Bachstr.;2-18;;;1106
13.09.2020;05914000;Bachstr.;39,46-101;;;1093
13.09.2020;05914000;Badstr.;6;;;1013
13.09.2020;05914000;Badstr.;16-26;;;1021
13.09.2020;05914000;Baedekerstr.;;;;4225
13.09.2020;05914000;Bahndamm;;;;4223
13.09.2020;05914000;Bahnhofstr.;;;;1011
13.09.2020;05914000;Bahnstr.;;;;3176
13.09.2020;05914000;Bandstahlstr.;;;;3162
13.09.2020;05914000;Barmerfeld;;;;3191
13.09.2020;05914000;Batheyer Str.;;;;2125
13.09.2020;05914000;Bauernstr.;;;;1044
13.09.2020;05914000;Baufeldstr.;1-25;;;1071
13.09.2020;05914000;Baufeldstr.;26-62;;;1072
13.09.2020;05914000;Baukey;;;;2111
13.09.2020;05914000;Baunscheidtstr.;;;;4225
13.09.2020;05914000;Baurothstr.;37-44,53-97;;;2132
13.09.2020;05914000;Baurothstr.;1-31,48,50;;;2135
13.09.2020;05914000;Bebelstr.;;;;5243
13.09.2020;05914000;Becheltestr.;;;;2153
13.09.2020;05914000;Becke;;;;4223
13.09.2020;05914000;Beethovenstr.;66-104;;;1054
13.09.2020;05914000;Beethovenstr.;6-62;;;1055
13.09.2020;05914000;Behrensstr.;;;;2135
13.09.2020;05914000;Behringstr.;;;;1032
13.09.2020;05914000;Benekestr.;;;;3182
13.09.2020;05914000;Berchumer Kirchplatz;;;;3164
13.09.2020;05914000;Berchumer Str.;52-76 ger.;;;3161
13.09.2020;05914000;Berchumer Str.;43-79 ung.;;;3162
13.09.2020;05914000;Berchumer Str.;6-14 ger.;;;1065
13.09.2020;05914000;Berchumer Str.;3,5;;;1053
13.09.2020;05914000;Bergerhof;;;;4223
13.09.2020;05914000;Berghofstr.;2-12;;;1033
13.09.2020;05914000;Berghofstr.;27-39;;;1024
13.09.2020;05914000;Berghofstr.;14-26;;;1034
13.09.2020;05914000;Bergholz;;;;3182
13.09.2020;05914000;Bergischer Ring;91-109;;;1104
13.09.2020;05914000;Bergischer Ring;71-77;;;1105
13.09.2020;05914000;Bergischer Ring;1-25 ung.;;;4201
13.09.2020;05914000;Bergischer Ring;63;;;1093
13.09.2020;05914000;Bergischer Ring;2-30 ger.,31-60;;;1014
13.09.2020;05914000;Berglehne;;;;4224
13.09.2020;05914000;Bergruthe;;;;1072
13.09.2020;05914000;Bergstr.;72-78 ger.,83-127;;;1012
13.09.2020;05914000;Bergstr.;39-45 ung.,46-71,73;;;1013
13.09.2020;05914000;Bergstr.;22-38,40;;;4201
13.09.2020;05914000;Berliner Allee;34-53;;;3166
13.09.2020;05914000;Berliner Allee;58-102;;;3171
13.09.2020;05914000;Berliner Str.;108-114 ger.,115-139;;;5241
13.09.2020;05914000;Berliner Str.;78-92 ger.,95-105,109;;;5251
13.09.2020;05914000;Berliner Str.;3-76,79-93 ung.;;;5243
13.09.2020;05914000;Besselstr.;;;;4225
13.09.2020;05914000;Betty-Brandt-Weg;;;;5231
13.09.2020;05914000;Beuken;;;;4222
13.09.2020;05914000;Bickenstück;;;;2122
13.09.2020;05914000;Bietinghausen;;;;4223
13.09.2020;05914000;Birkenhain;;;;1075
13.09.2020;05914000;Birkenstr.;1-15 ung.;;;2143
13.09.2020;05914000;Birkenstr.;4-82 ger.;;;2144
13.09.2020;05914000;Birkenstr.;17-73 ung.;;;2145
13.09.2020;05914000;Bismarckstr.;1-4,6-28 ger.;;;1104
13.09.2020;05914000;Bismarckstr.;5-29 ung.,30-42;;;1106
13.09.2020;05914000;Bismarckturm;;;;1093
13.09.2020;05914000;Bissinghof;;;;1075
13.09.2020;05914000;Blankenagelstr.;;;;3161
13.09.2020;05914000;Bleichplatz;;;;4203
13.09.2020;05914000;Bleichstr.;;;;1092
13.09.2020;05914000;Blücherstr.;11-29 ung.,30-32;;;1023
13.09.2020;05914000;Blücherstr.;1-10,12-22 ger.;;;1084
13.09.2020;05914000;Blumenstr.;2,6-15,17-21 ung.;;;1034
13.09.2020;05914000;Blumenstr.;1-5 ung.;;;1033
13.09.2020;05914000;Blumenstr.;30;;;1022
13.09.2020;05914000;Blumenstr.;16-20 ger.;;;1024
13.09.2020;05914000;Blütenweg;;;;1013
13.09.2020;05914000;Böcklerstr.;;;;2135
13.09.2020;05914000;Bodelschwinghplatz;;;;1103
13.09.2020;05914000;Boeingstr.;;;;3185
13.09.2020;05914000;Boeler Kirchplatz;;;;2115
13.09.2020;05914000;Boeler Str.;1-8,10-14 ger.;;;1032
13.09.2020;05914000;Boeler Str.;9-89 ung.;;;1042
13.09.2020;05914000;Boeler Str.;106-126 ger.,151-183 ung.;;;1043
13.09.2020;05914000;Boeler Str.;176-184 ger.,185-217;;;1044
13.09.2020;05914000;Boeler Str.;32-88 ger.,91-106,107-145 ung.;;;1041
13.09.2020;05914000;Böhfeldstr.;;;;2116
13.09.2020;05914000;Böhmerstr.;13-24,28;;;4201
13.09.2020;05914000;Böhmerstr.;25-43 ung.,44-79;;;1013
13.09.2020;05914000;Böhmerwiese;3-19 ung.;;;4211
13.09.2020;05914000;Böhmerwiese;8,10;;;4204
13.09.2020;05914000;Bölling;;;;4225
13.09.2020;05914000;Bolohstr.;24-100 ger.;;;1063
13.09.2020;05914000;Bolohstr.;23-129 ung.;;;1064
13.09.2020;05914000;Bonsmannstr.;;;;2125
13.09.2020;05914000;Borgenfeldstr.;;;;2122
13.09.2020;05914000;Borsigstr.;10-18,27-31;;;1091
13.09.2020;05914000;Borsigstr.;20,33,35;;;1094
13.09.2020;05914000;Brahmsstr.;;;;1054
13.09.2020;05914000;Brake;;;;4222
13.09.2020;05914000;Brandenburger Str.;;;;2151
13.09.2020;05914000;Brantenberg;;;;4225
13.09.2020;05914000;Brauckweg;;;;2126
13.09.2020;05914000;Braugasse;;;;4225
13.09.2020;05914000;Brauhausstr.;;;;3175
13.09.2020;05914000;Brechtefeld;;;;4225
13.09.2020;05914000;Breddestr.;;;;4202
13.09.2020;05914000;Bredelle;;;;1055
13.09.2020;05914000;Breisacher Str.;;;;4214
13.09.2020;05914000;Breitenbruch;;;;3172
13.09.2020;05914000;Bremker Weg;;;;5231
13.09.2020;05914000;Breslauer Str.;;;;3192
13.09.2020;05914000;Brinkstr.;;;;1032
13.09.2020;05914000;Brockhauser Str.;;;;2111
13.09.2020;05914000;Brucknerstr.;55-68;;;1023
13.09.2020;05914000;Brucknerstr.;1-53;;;1054
13.09.2020;05914000;Bruckstr.;;;;3174
13.09.2020;05914000;Brüderstr.;1-10,17-23;;;1032
13.09.2020;05914000;Brüderstr.;12,14;;;1025
13.09.2020;05914000;Brüninghausstr.;;;;2111
13.09.2020;05914000;Brunnenstr.;4-10 ger.,11-13;;;1084
13.09.2020;05914000;Brunnenstr.;1-9 ung.;;;1082
13.09.2020;05914000;Brunsbecke;;;;4222
13.09.2020;05914000;Brusebrinkstr.;;;;5232
13.09.2020;05914000;Buchenhof;;;;4225
13.09.2020;05914000;Buchenweg;;;;3194
13.09.2020;05914000;Büddinghardt;;;;5242
13.09.2020;05914000;Büddingstr.;1-37;;;5232
13.09.2020;05914000;Büddingstr.;38-62;;;5233
13.09.2020;05914000;Bührener Weg;;;;4224
13.09.2020;05914000;Bülowstr.;1-17,20-28 ger.;;;1023
13.09.2020;05914000;Bülowstr.;30-38 ger.;;;1082
13.09.2020;05914000;Bülowstr.;19-39 ung.,42-70;;;1084
13.09.2020;05914000;Bungstockstr.;;;;3161
13.09.2020;05914000;Buntebachstr.;5-35;;;4202
13.09.2020;05914000;Buntebachstr.;38-111;;;4211
13.09.2020;05914000;Bürgerstr.;1-39 ung.;;;1043
13.09.2020;05914000;Bürgerstr.;2-40 ger.,41-62;;;1044
13.09.2020;05914000;Burgweg;;;;3174
13.09.2020;05914000;Burscheder Weg;;;;5261
13.09.2020;05914000;Buscheystr.;19-59 ung.;;;1093
13.09.2020;05914000;Buscheystr.;62-82;;;1092
13.09.2020;05914000;Buscheystr.;16-60 ger.;;;1105
13.09.2020;05914000;Buschhofstr.;;;;1014
13.09.2020;05914000;Buschmühlenstr.;30,60;;;3162
13.09.2020;05914000;Buschmühlenstr.;28;;;2126
13.09.2020;05914000;Buschstr.;4-14 ger.,15-111;;;2135
13.09.2020;05914000;Buschstr.;1-11 ung.;;;2136
13.09.2020;05914000;Bussardweg;;;;3165
13.09.2020;05914000;Charlottenweg;;;;1102
13.09.2020;05914000;Christian-Rohlfs-Str.;22-49;;;1093
13.09.2020;05914000;Christian-Rohlfs-Str.;1-21;;;1105
13.09.2020;05914000;Corbacher Str.;;;;5241
13.09.2020;05914000;Cowenstr.;;;;3184
13.09.2020;05914000;Cunosiedlung;;;;1101
13.09.2020;05914000;Cunostr.;96-112;;;1074
13.09.2020;05914000;Cunostr.;2-92;;;1075
13.09.2020;05914000;Dachsweg;;;;3165
13.09.2020;05914000;Dahlenkampstr.;;;;1013
13.09.2020;05914000;Dahler Str.;21-56,58,60;;;4222
13.09.2020;05914000;Dahler Str.;57-111 ung.;;;4225
13.09.2020;05914000;Dahlienstr.;;;;1081
13.09.2020;05914000;Dahmsheide;;;;1041
13.09.2020;05914000;Dähnertskamp;;;;4204
13.09.2020;05914000;Damaschkeweg;;;;3194
13.09.2020;05914000;Dammstr.;;;;5252
13.09.2020;05914000;Danziger Str.;15-43;;;2116
13.09.2020;05914000;Danziger Str.;1-14;;;2125
13.09.2020;05914000;Degingstr.;;;;4225
13.09.2020;05914000;Deipenbrink;;;;4225
13.09.2020;05914000;Delbrüggerstr.;;;;4225
13.09.2020;05914000;Delsterner Str.;2-82;;;4214
13.09.2020;05914000;Delsterner Str.;101-196;;;4221
13.09.2020;05914000;Delsterner Ufer;;;;4214
13.09.2020;05914000;Denkmalstr.;;;;2115
13.09.2020;05914000;Detmolder Str.;112-120;;;1102
13.09.2020;05914000;Detmolder Str.;1-80;;;5235
13.09.2020;05914000;Dickenbruchstr.;;;;5244
13.09.2020;05914000;Dickerköppchen;;;;4225
13.09.2020;05914000;Dieselstr.;;;;3176
13.09.2020;05914000;Diesterwegstr.;;;;1014
13.09.2020;05914000;Distelstück;;;;5261
13.09.2020;05914000;Dödterstr.;;;;4201
13.09.2020;05914000;Dohlenweg;;;;3194
13.09.2020;05914000;Dömbergstr.;1-35,37,39;;;1093
13.09.2020;05914000;Dömbergstr.;36,45-51;;;1092
13.09.2020;05914000;Donnerkuhler Weg;;;;1063
13.09.2020;05914000;Dorfstr.;;;;2126
13.09.2020;05914000;Dornröschenweg;;;;5261
13.09.2020;05914000;Dorotheenstr.;;;;1101
13.09.2020;05914000;Dortmunder Str.;2-6;;;2115
13.09.2020;05914000;Dortmunder Str.;98;;;2125
13.09.2020;05914000;Drei Eicken;;;;4222
13.09.2020;05914000;Dreieckstr.;1-13 ung.;;;1031
13.09.2020;05914000;Dreieckstr.;2,4;;;1033
13.09.2020;05914000;Dreischengarten;;;;3164
