version;wahl-behoerde-gs;wahl-datum;wahl-name;wahl-leiter-gs;wahl-leiter-name;gebiet-ebene-5-nr;gebiet-ebene-5-name;gebiet-ebene-4-nr;gebiet-ebene-4-name;gebiet-ebene-3-nr;gebiet-ebene-3-name;gebiet-ebene-2-nr;gebiet-ebene-2-name;bezirk-nr;bezirk-name;BRIEFWAHLBEZIRK-NR;bezirk-art;bezirk-repräsentativ;kandidat-gebiet-nr;kandidat-gebiet-bezeichnung;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Innenstadt-Ost;Innenstadt-Ost;00121;001-21 Hans-Thoma-Schule;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Innenstadt-Ost;Innenstadt-Ost;00122;001-22 Hans-Thoma-Schule;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Innenstadt-Ost;Innenstadt-Ost;00123;001-23 Hans-Thoma-Schule;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Innenstadt-West;Innenstadt-West;00221;002-21 Leopoldschule;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Innenstadt-West;Innenstadt-West;00222;002-22 Leopoldschule;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Innenstadt-West;Innenstadt-West;00223;002-23 Leopoldschule;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Innenstadt-West;Innenstadt-West;00224;002-24 Bismarck-Gymnasium;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Innenstadt-West;Innenstadt-West;00225;002-25 Bismarck-Gymnasium;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Südstadt;Südstadt;00321;003-21 Friedrich-List-Schule;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Südstadt;Südstadt;00322;003-22 Nebeniusschule;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Südstadt;Südstadt;00323;003-23 Nebeniusschule;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Südstadt;Südstadt;00324;003-24 Nebeniusschule;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Südstadt;Südstadt;00325;003-25 Uhlandschule;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Südstadt;Südstadt;00326;003-26 Friedrich-List-Schule;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Südstadt;Südstadt;00327;003-27 Uhlandschule;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Südstadt;Südstadt;00328;003-28 Nebeniusschule;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Südstadt;Südstadt;00329;003-29 Friedrich-List-Schule;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Südweststadt;Südweststadt;00421;004-21 Goethe-Gymnasium;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Südweststadt;Südweststadt;00422;004-22 Goethe-Gymnasium;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Südweststadt;Südweststadt;00423;004-23 Kimmelmannschule;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Südweststadt;Südweststadt;00424;004-24 Weinbrennerschule;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Südweststadt;Südweststadt;00425;004-25 Südendschule;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Südweststadt;Südweststadt;00426;004-26 Kimmelmannschule;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Südweststadt;Südweststadt;00427;004-27 Südendschule;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Südweststadt;Südweststadt;00428;004-28 Goethe-Gymnasium;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Südweststadt;Südweststadt;00429;004-29 Goethe-Gymnasium;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Südweststadt;Südweststadt;00430;004-30 Kimmelmannschule;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Weststadt;Weststadt;00521;005-21 Drais-Gemeinschaftsschule;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Weststadt;Weststadt;00522;005-22 Helmholtz-Gymnasium;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Weststadt;Weststadt;00523;005-23 Lessing-Gymnasium;;W;;271;271 Karlsruhe-Stadt;;
0.3;08212000;23.02.2025;Bundestagswahl 2025;08212000;Stadt Karlsruhe;;;;;;;Weststadt;Weststadt;00524;005-24 Lessing-Gymnasium;;W;;271;271 Karlsruhe-Stadt;;
